Name,Location,Rank,Description,Tuition Fees,In-state,Undergrad Enrollment
University of Missouri,"Columbia, MO",111,"Students at the University of Missouri live in a unique botanical garden, with more than 40,000 plants across campus.  than a third of high school seniors from Missouri attend Mizzou each year, and all freshmen must live on campus. As the only Division I-A sports school in the state, the Missouri Tigers teams are a big focus of campus life. The teams compete in the NCAA Division I Southeastern Conference and are particularly competitive in football. The school mascot, Truman the Tiger, is named after former President Harry Truman, who was born in Missouri. Mizzou has more than 600 clubs and organizations for students.  than 20 percent of students join the school's Greek system, which is made up of 50-plus fraternities and sororities. Students also have a vast array of degree options, with more than 280 majors, nearly 70 of which can be completed online. The university's hometown of Columbia is in central Missouri and is host to annual events like the Roots 'n Blues 'n BBQ music festival and Art in the Park, a large creative works showcase. To travel around campus and the town on the weekends, students have free access to STRIPES, a transportation service that delivers riders to their homes from 10 p.m. to 3 a.m. Thursday through Sunday. ","$25,892 ","$9,518 ","27,812"
University of Nebraska--Lincoln,"Lincoln, NE",111,"There are about 150 majors to choose from at the University of Nebraska--Lincoln, a large, public institution that is committed to research. All freshmen must live on the school's campus in downtown Lincoln and can bring cars if they wish. There are more than 400 student organizations to check out, including a large Greek community with more than 40 fraternities and sororities. The UNL athletic squads, known as the Huskers, compete in the NCAA Division I Big Ten Conference. The University of Nebraska also offers a wide variety of graduate departments, including a College of Law, a College of Business Administration, a College of Engineering and a College of Education and Human Sciences. Notable alumni of the University of Nebraska--Lincoln include investor and philanthropist Warren Buffett and television talk show host Johnny Carson. ","$23,148 ","$8,628 ","20,182"
University of Oklahoma,"Norman, OK",111,"The University of Oklahoma, known as OU for short, is a large, public research institution in Norman. The OU Sooners are traditionally dominant athletic squads that compete in the NCAA Division I Big 12 Conference, cheered on by the Sooner Schooner mascot, a replica of an old Conestoga covered wagon. About 25 percent of students opt to join the school's large Greek system, made up of more than 40 fraternities and sororities. In addition, there are more than 300 other student clubs and organizations. All freshmen are required to live on the school's campus, which is also home to the National Weather Center. Undergraduates from any major program can apply to conduct research at the National Weather Center during the summer. There are many programs for graduate students, too, including those offered through the Michael F. Price College of Business, the College of Law, College of Medicine and College of Engineering. OU also has a well-regarded physician assistant training program. Many notable athletes, including former football player and coach Darrell Royal and baseball player Greg Dobbs, have graduated from the University of Oklahoma, as did former U.S. House Majority Leader Dick Armey and actress and comedian Olivia Munn. ","$21,451 ","$8,065 ","22,132"
University of the Pacific,"Stockton, CA",111,"The University of the Pacific is a private university with a picturesque campus in Stockton, California, that has made its way into more than 15 movies, including ""All the King's Men,"" ""Porgy & Bess"" and ""Flubber."" Freshmen and sophomores must live on campus, unless they're commuting from a parent's home within 50 miles of school. Upperclassmen may live in residence halls, Greek houses or university apartments if they'd like, but they aren't required to. Greek life draws about 20 percent of the student body, and, in total, there are about 150 student organizations to consider joining. The Pacific Tigers sports teams compete in the NCAA Division I West Coast Conference. The school does not have a football team. Since Stockton is situated in the California Delta waterway, students are close to water sports options, including jet skiing, windsurfing and sailing. For road trips within California, Sacramento is 45 minutes away and San Francisco, Napa and San Jose are all within a 90-minute drive. In addition to its degree options for undergraduate students, the University of the Pacific has the McGeorge School of Law, the Eberhardt School of Business, a graduate school of education and . Notable alumni of the University of the Pacific include billionaire Alex Spanos, owner of the San Diego Chargers football team, and baseball agent Scott Boras, who founded the sports agency Boras Corp. ","$44,588 ",,"3,735"
University of Utah,"Salt Lake City, UT",111,"The University of Utah, known as the U of U or simply The U, is a Salt Lake City center of academics, powerhouse sports and research. Undergraduates interested in university housing can choose from traditional residence halls, two- and four-bedroom apartments and common-interest living communities. The Utah sports teams, the Utes, compete in the NCAA Division I PAC-12 Conference and are rivals with Brigham Young University's teams. The U of U runs a variety of research centers and institutes, including the Brain Institute, the American West Center and the Center for High Performance Computing. The University of Utah's well-regarded S.J. Quinney College of Law, College of Engineering, College of Education and David Eccles School of Business all offer degree programs for graduate students. The U of U School of Medicine, which is particularly well regarded for its primary care program, is the only medical school in the state. Notable alumni of the University of Utah include Alan Ashton, co-founder of WordPerfect; Nolan Bushnell, founder of both Chuck E. Cheese's and video game company Atari Inc.; and John Warnock, co-founder of Adobe Systems Inc. ","$27,039 ","$8,518 ","23,794"
Michigan Technological University,"Houghton, MI",118,"Michigan Technological University is located in the small town of Houghton on the Keweenaw Peninsula of Lake Superior, about 100 miles north of the Wisconsin border. Students at Michigan Tech can choose from more than 120 undergraduate areas of study, as well as many master's degree programs, including those in the schools of business and engineering. Students at Michigan conduct research, often one-on-one with their professors, and have the opportunity to present what they learned at an undergraduate expo. Enterprise teams, which are groups of students of varying majors who work together to solve real-world problems, also present at the expo. In their free time, Michigan Tech students can participate in more than 200 organizations, Greek life or intramural sports. The university also has many traditions for students to follow, such as the annual Winter Carnival that takes advantage of the area's impressive snowfall with ice sculpture contests, snow volleyball, cross-country ski races and the ""Sno-Ball""dance. Student athletes can try out for the NCAA Division I Michigan Tech Huskies men's hockey team or play for the many other varsity sports teams, which compete in Division II. ","$30,968 ","$14,634 ","5,721"
Seton Hall University,"South Orange, NJ",118,"Seton Hall University is a private, Catholic school in the small town of South Orange, New Jersey, about 15 miles from New York City. Also known simply as SHU, the university offers more than 60 majors in eight schools, with graduate programs in the Stillman School of Business, the school of education and the law school, which is home to a very highly ranked health care law program. Seton Hall students can make the most of their degrees by working with the career center, which connects them to internship and job opportunities. According to the school, the vast majority of SHU graduates find work in the New York or New Jersey area. But before they get that far, SHU students can explore more than 100 campus organizations, Greek life or recreational sports. More serious athletes can try out for one of the more than 15 Seton Hall Pirates varsity sports teams, which compete in the NCAA Division I Big East Conference. Notable alumni of SHU include Max Weinberg, the longtime drummer in Bruce Springsteen's E Street Band and the band leader on the television show ""Late Night with Conan O'Brien. ","$39,258 ",,"6,090"
Temple University,"Philadelphia, PA",118,"Temple University is a large, urban college in Philadelphia. At Temple, freshmen are not required to live on campus, though most choose to do so. Students have the option to request their desired room assignment through an online system and can search for potential roommates using a matching program available through Facebook. Student fans can root for the Temple Owls sports teams, which compete in the NCAA Division I American Athletic Conference, as well as a variety of professional teams, including the Phillies, Flyers and Eagles. There are around 300 student organizations to check out, and Center City Philadelphia, a hub of shopping and city life, is about two miles from campus.  The school runs a variety of research centers and institutes, including the Innovation & Entrepreneurship Institute, the Center for Sustainable Communities and the Center for Asian Health. Temple University is also home to the Richard J. Fox School of Business and Management, the James E. Beasley School of Law, and schools of medicine, engineering and education, among others. Graduate students can also earn degrees in dentistry, pharmacy and podiatric medicine. Notable alumni of Temple University include actor Bill Cosby and celebrity photographer Jeff Kravitz. ","$25,994 ","$15,688 ","28,609"
University of California--Riverside,"Riverside, CA",118,"Despite its setting in Southern California, UCR has a distinctly Scottish feel. All residence halls at the University of California--Riverside are named for landmarks in Scotland, including Aberdeen-Inverness and Pentland Hills. Student athletes compete as UCR Highlanders in the NCAA Division I Big West Conference. The school's original mascot was a live Scottish terrier; today, sports teams are supported by a kilt-clad bear named Scotty. Members of the student Pep Band don plaid berets and sashes as they play the ""Brave Scots"" fight song at sports matches, and students who play the bagpipes or drums can join the school's Pipe Band as well. About 70 percent of UCR students are commuters, and freshmen do not have to live on campus. Students may want to hang around after class, however, for notable annual events like the fall Block Party and Spring Splash. There are more than 300 student organizations to check out, too, including about 40 fraternities and sororities. Freshmen can ease into college with the help of the First Year Success Series, a combination of seminars and workshops that teach students study and time management skills. Riverside is in an ideal location for road trips, with Disneyland and Orange County within a 40-mile drive and Los Angeles about 60 miles away. ","$40,263 ","$13,581 ","18,608"
University of Kansas,"Lawrence, KS",118,"Founded in 1865, University of Kansas is a public institution. University of Kansas follows a semester-based academic calendar and its admissions are considered more selective. ","$25,932 ","$10,549 ","19,245"
University of St. Thomas,"St. Paul, MN",118,"Founded in 1885, University of St. Thomas is a private institution. The school has 40.1 percent of its classes with fewer than 20 students, and the student-faculty ratio at University of St. Thomas is 14:1. ","$39,594 ",,"6,240"
The Catholic University of America,"Washington, DC",124,"Catholic University of America, as its name suggests, is the national university of the Catholic Church. Students take several courses in theology and philosophy before graduation, and the Campus Ministry holds worship services and offers leadership opportunities to interested students. For other ways to get involved, Catholic University students can check out more than 80 clubs and organizations. The school's Cardinals athletic teams compete in the NCAA Division III Landmark Conference in every sport except football. The football team plays in the Old Dominion Athletic Conference. Freshmen and sophomores are required to live on campus, and because the university has a stop on Washington, D.C.'s public transportation system, the Metro, students are just a short trip away from Capitol Hill and other national landmarks. The school is home to about 20 research facilities, including the Institute for Policy Research & Catholic Studies. For graduate students, Catholic University runs the Columbus School of Law, a Department of Education and a School of Engineering, among other academic departments. There is also the Theological College, a seminary for male students preparing for priesthood. Among the many notable graduates of Catholic University are alumni such as actors Jon Voight and John Slattery; Robert Craves, co-founder of Costco Wholesale Inc.; and James Vanderslice, a former Dell Inc. executive. ","$42,536 ",,"3,480"
DePaul University,"Chicago, IL",124,"DePaul University has five campuses in and around Chicago, and its two main locations, the Loop and Lincoln Park campuses, are located downtown. Individual academic colleges, such as the College of Liberal Arts and Social Sciences and the Driehaus College of Business, are located exclusively on one campus. DePaul is also home to the School for New Learning, which caters to adult students. Universitywide, there are more than 300 student organizations to check out, and students are allowed to form their own clubs, too. More than 5 percent of students join fraternities and sororities. The school's sports teams, the Blue Demons, compete in the NCAA Division I Big East Conference. The university operates on quarters, not semesters, and each year, students gather for events such as FEST, an outdoor concert and festival in the spring, and Homecoming. University housing is offered to all DePaul students. Freshmen and sophomores are permitted to live in residence halls or residence hall apartments. Juniors and seniors have a selection of university-owned lofts, townhouses and apartments. There is also a multi-college community residence hall for students of any age, known as University Center, where students from DePaul University live alongside peers from Roosevelt University, Robert Morris University and Columbia College. Notable alumni of DePaul University include actor John C. Reilly, star of films including ""Walk Hard: The Dewey Cox Story"" and ""Step Brothers,"" and Samuel Magad, former concertmaster of the Chicago Symphony Orchestra. ","$37,626 ",,"15,961"
Duquesne University,"Pittsburgh, PA",124,"Founded in 1878, Duquesne University is a private institution. Duquesne University follows a semester-based academic calendar and its admissions are considered selective. ","$35,062 ",,"5,961"
Howard University,"Washington, DC",124,"At Howard University, a historically black college in the heart of the District of Columbia, all undergraduate students complete a universitywide core curriculum. Required courses include those in English composition and Afro-American studies. Students then have dozens of majors to choose from, including Afro-American studies, French and music therapy. Outside of class, Howard students may choose to get involved in one of the school's many student organizations, including fraternities and sororities and academic clubs. The university has its own stop on the city's public transportation system, the Metro, and students are also permitted to bring cars to school. Freshmen, however, are not eligible for campus parking. The school offers a range of male, female and coed housing, both on and off campus. Howard University has many graduate programs as well, including those in the School of Business, School of Law, College of Medicine and College of Engineering, Architecture and Computer Sciences. Notable alumni of Howard University include former U.S. Supreme Court Justice Thurgood Marshall, Pulitzer Prize-winning author Toni Morrison and Emmy Award-winning actress Phylicia Rashad. ","$24,908 ",,"6,883"
University of Arizona,"Tucson, AZ",124,"As one of the largest public institutions in its state, the University of Arizona in Tucson offers a wide range of activities and academic opportunities to its students. Student athletic supporters form the ZonaZoo, the student section that supports the Arizona Wildcats sports teams, which compete in the NCAA Division I Pac-12 Conference. For athletes who don't compete on the school's teams, there are three levels of intramural sports: the Desert league, which emphasizes fun; the Sunset league, geared to moderate athletes; and the Cactus league, meant for very skilled and competitive athletes. For other ways to get involved, University of Arizona students can check out more than 30 fraternities and sororities, among many other student organizations. Freshmen are not required to live on campus, though first-year students make up about 80 percent of the on-campus residential population. Each year, the university community gathers for events like the Spring Fling, billed as the largest student-run carnival in the country, and Homecoming. As a research institution, the University of Arizona also offers a variety of opportunities for both undergraduate and graduate students to get involved in research projects. The university has a wide range of graduate student programs, including the Eller College of Management, the James E. Rogers College of Law and a College of Medicine. Notable alumni of the University of Arizona include reality television star Kourtney Kardashian and journalist Geraldo Rivera. ","$30,025 ","$10,872 ","33,732"
Arizona State University--Tempe,"Tempe, AZ",129,"Arizona State University--Tempe, which has one of the largest undergraduate populations in the nation, offers students a wide range of academic and extracurricular options. Collectively, the campuses in Tempe and three other locations in the Phoenix area offer students more than 300 undergraduate academic programs to pick from and more than 500 clubs and organizations to check out. For time away from Arizona, students can choose from more than 250 study abroad options. Freshmen are required to live on campus, unless they commute from a parent's home, are married or fall under other exceptions. The Arizona State Sun Devils sports teams compete in the NCAA Division I Pac-12 Conference and are particularly known for their baseball prowess. Arizona State also offers a wide range of highly ranked graduate programs through schools including the W. P. Carey School of Business, the Sandra Day O'Connor College of Law, the Ira A. Fulton Schools of Engineering and the Mary Lou Fulton Teachers College. Among the scores of notable people who have attended ASU are actor David Spade, talk show host Jimmy Kimmel and baseball star Barry Bonds. ","$25,458 ","$10,158 ","41,828"
Clarkson University,"Potsdam, NY",129,"Clarkson University is a private school in northern New York, in the village of Potsdam, which is about a 90-minute drive from Ottawa and nearly two hours from Montreal. Undergraduates at Clarkson can choose from more than 50 academic programs, and graduates have many options as well, including those in the schools of business and engineering. Outside the classroom, Clarkson students can explore the more than 60 campus organizations, which include more than 10 fraternities and sororities. At Clarkson, there are also many annual events, such as the Holiday Hoops for Charity basketball games and pep rallies and bonfires on Spirit Day. Off campus, Clarkson students can discover the nearby Adirondack Mountains and Lake Placid, drive an hour to Canada or take a day trip to New York City. Student athletes at Clarkson can check out many intramural teams or play at the varsity level in the NCAA. The nationally recognized Golden Knights men's and women's hockey teams compete in Division I, and about a dozen other varsity teams play in Division III. ","$46,132 ",,"3,257"
Colorado State University,"Fort Collins, CO",129,"Colorado State University is located in Fort Collins, a midsize city at the base of the Rocky Mountains, less than an hour north of Denver. Colorado State, also known as CSU, offers more than 150 degrees in eight colleges, with graduate programs in the schools of business, engineering and education and the renowned College of Veterinary Medicine and Biomedical Sciences. CSU is considered one of the leading research universities, and faculty and students work together to explore fields such as atmospheric science, infectious diseases, clean energy technologies and environmental science. Outside the classroom and research lab, students can get involved with the more than 350 campus organizations, including about 35 fraternities and sororities. Student athletes can find sports at the recreational, club and varsity level, with the CSU mascot and colors reflecting the school's past. CSU began as an agricultural school, so the sports teams were called the Aggies and their colors were green and gold to represent farming. The school held onto the colors, but the more than 15 varsity sports teams are now called the Rams. They compete in the NCAA Division I Mountain West Conference. ","$28,374 ","$11,080 ","24,433"
New School,"New York, NY",129,"Founded in 1919, New School is a private institution. New School follows a semester-based academic calendar and its admissions are considered selective. ","$45,535 ",,"6,792"
Hofstra University,"Hempstead, NY",133,"With its location on Long Island, New York, Hofstra University puts students in an ideal location to enjoy attractions and secure internships in New York City. In addition to two traditional semesters, the university offers courses during a January term and several summer sessions. Campus residence options include traditional dormitories and Themed Living Communities, which group students by a common interest such as active living and performing arts. There are more than 200 student organizations, including about 20 fraternities and sororities. The Hofstra Pride sports teams compete in the NCAA Division I Colonial Athletic Association, and students can also get involved in club sports including roller hockey and Ultimate Frisbee. The university runs a variety of academic institutes, including the Peter S. Kalikow Center for the Study of the American Presidency, the National Center for Suburban Studies and the Long Island Studies Institute. There are many programs for graduate students, too, offered through university schools including the Frank G. Zarb School of Business, the Maurice Deane School of Law and the School of Education. Notable alumni of Hofstra University include actor Tom McGowan, who has appeared in TV shows including ""Frasier,"" ""Everybody Loves Raymond"" and ""Curb Your Enthusiasm,"" and Alan Colmes, former co-host of ""Hannity and Colmes"" on Fox News Channel. ","$42,160 ",,"6,824"
University of Kentucky,"Lexington, KY",133,"The University of Kentucky is located in the city of Lexington, which is about 80 miles south of Cincinnati and 200 miles northeast of Nashville. The university offers many degrees, including about 120 master's programs, such as those in the Gatton College of Business and Economics, the College of Medicine and the College of Law. UK is also home to highly ranked graduate programs in the fields of health and public affairs. Students at UK can make the most of their studies by visiting the James W. Stuckert Career Center, which helps them find internships and jobs. Outside the classroom, University of Kentucky students can get involved by joining nearly 350 clubs, Greek life or the Kentucky Kernel student newspaper. Often called the ""Horse Capital of the World"" because of its race tracks and stables, Lexington can also be a source of fun for students, who can shop, golf, tour a museum, browse the farmers' market or spend a day at the horse track. Student athletes can get involved at the recreational level or try out for the many Kentucky Wildcats varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable alumni include Senate Republican leader Mitch McConnell, who was voted to serve as president of the Student Bar Association while studying law at University of Kentucky. ","$26,334 ","$11,484 ","22,705"
Kansas State University,"Manhattan, KS",135,"Kansas State University is located in the city of Manhattan, in the northeast region of the state. Students at K-State, as it is known, can choose from more than 250 undergraduate majors and more than 60 master's degree programs, including those in the fields of business, engineering and education. K-State is home to the Biosecurity Research Institute, where students can train to research infectious diseases, and the Landon Lecture Series, which has hosted many prestigious speakers, including five former U.S. presidents. K-State students can join more than 450 organizations, dozens of fraternities and sororities, and student government. It's also easy to stay busy on campus by visiting the school's golf course, insect museum, dairy bar and gardens. Student athletes at K-state can play at the recreational level or try out for one of the many K-State Wildcats varsity sports teams, which compete in the NCAA Division I Big 12 Conference. Notable K-State alumni include actor Eric Stonestreet, who appears on the television show ""Modern Family,"" and chief White House photographer Pete Souza. ","$23,429 ","$9,350 ","19,859"
Louisiana State University--Baton Rouge,"Baton Rouge, LA",135,"Louisiana State University--Baton Rouge, better known as LSU, is a public school near the Mississippi River, in the southeastern part of the state. Students at LSU can choose from many programs in more than a dozen colleges, with graduate degrees available in the E. J. Ourso College of Business, the College of Engineering, the law school and several other fields. Outside the classroom, LSU students can explore more than 350 student organizations or check out the unique, free facilities nearby, including the 14-acre Hilltop Arboretum or the Louisiana Museum of Natural History. Sports fans can visit the Andonie Museum, which is also free and all about the history of LSU athletics. Student athletes can play at the recreational level or with the LSU Tigers varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable LSU alumni include four-time NBA champion Shaquille O'Neal, and Lyndon Johnson's vice president, Hubert Humphrey. ","$27,005 ","$9,842 ","26,156"
Mercer University,"Macon, GA",135,"Just an hour south of Atlanta, the main campus of Mercer University is located in the slightly quieter city of Macon, Georgia. Mercer offers programs in 12 different colleges and schools, with business being the most popular major. Tradition is important to the Mercer community. For the last 100 years, first-year students have climbed the tower of the tallest campus structure, the Godsey Administration Building, to sign their names on the surface. The Mercer Student Government Association also hosts an annual ceremony to light the school Christmas tree. Students can get involved through more than 100 student organizations, Greek life and athletics. The Mercer Bears sports teams, called the Mercer Baptists until 1924, mainly compete in the NCAA Division I Southern Conference. Graduate students at Mercer can choose from several programs, including those in the School of Medicine or the Eugene W. Stetson School of Business and Economics. Famous Mercer alumni include Nancy Grace of HLN's ""Nancy Grace,"" who graduated from the Walter F. George School of Law. ","$35,130 ",,"4,667"
New Jersey Institute of Technology,"Newark, NJ",135,"Founded in 1881, New Jersey Institute of Technology is a public institution. New Jersey Institute of Technology follows a semester-based academic calendar and its admissions are considered more selective. ","$30,326 ","$16,108 ","8,008"
Rutgers University--Newark,"Newark, NJ",135,"Rutgers University--Newark is one of several campuses of Rutgers University and is located in the largest city in the state. More than 60 percent of Rutgers University--Newark students complete a degree program in the Newark College of Arts and Sciences. Students aren't required to live on campus, though university housing options exist. The campus is near train, bus, subway and light rail stops, making commuting convenient. There are more than 100 clubs and organizations for interested students to check out, as well as Rutgers University--Newark Scarlet Raiders sports matches against fellow NCAA Division III New Jersey Athletic Conference member schools. Rutgers University--Newark also has a variety of degree programs for graduate students through departments such as the Business School, the School of Law and the highly ranked School of Criminal Justice. Notable alumni of Rutgers University--Newark include Louis Freeh, former director of the Federal Bureau of Investigation; Hazel O'Leary, former U.S. Secretary of Energy; and sports columnist Jerry Izenberg. ","$29,480 ","$13,829 ","7,713"
University of Arkansas,"Fayetteville, AR",135,"The University of Arkansas, or U of A, is a public institution located in the city of Fayetteville, in the northwest corner of the state. Students at the University of Arkansas can pursue a bachelor's degree in about 75 fields of study, with graduate degrees available in the Sam M. Walton College of Business, the College of Engineering, the School of Law and other fields. U of A students can get involved on campus through several student organizations and media opportunities, including two radio stations and a student newspaper that's been around for more than a century. The Office of Student Activities at U of A plans several free events for students, including concerts featuring Grammy winners such as John Mayer, and lectures by prominent figures such as former President George H.W. Bush. Students who want to venture off the University of Arkansas campus can visit the nearby Ozark National Forest and Buffalo National River or take a weekend trip to Dallas, Memphis or St. Louis, which are each about 300 miles away. Student athletes can join recreational sports or one of the nearly 20 University of Arkansas Razorbacks varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable U of A past faculty include Bill and Hillary Clinton, who each taught in the law school a few decades before landing in the White House, and famed alumni include Charles Portis, who penned the Western novel ""True Grit. ","$23,168 ","$8,820 ","22,159"
University of Cincinnati,"Cincinnati, OH",135,"The University of Cincinnati is a public school that offers hundreds of programs of study, including graduate degrees in business, law and engineering. The university also has several highly ranked fine arts and health master's programs. Located just east of the uptown campus, the UC Academic Health Center is home to four colleges, patient-care facilities and major research laboratories. This center is famed for offering the first nursing bachelor's degrees in 1916 and developing the first live, attenuated polio vaccine in the 1960s. UC students today have much to do in and outside of the classroom. They can explore more than 300 campus organizations, join Greek life or educate themselves in the Racial Awareness Program (RAPP). Student athletes can get involved at the intramural or club sport level or try out for one of the many Cincinnati Bearcats varsity teams, which compete in the NCAA Division I American Athletic Conference. Notable alumni include Joseph Strauss, who designed the Golden Gate Bridge, and Abe Bookman, who invented the Magic 8-Ball toy. ","$26,334 ","$11,000 ","25,054"
University of Mississippi,"University, MS",135,"The University of Mississippi, better known as Ole Miss, is a large public institution in the college town of Oxford. Ole Miss has a large community of fraternities and sororities that about 35 percent of both male and female students join. Sports are another popular outlet for student athletes and fans alike, as the Ole Miss Rebels sports teams compete in the NCAA Division I Southeastern Conference. Freshmen must live on the university's campus in Oxford, a traditional college town with an art scene, restaurants and more to check out. The university is committed to research, with projects in the Center for the Study of Southern Culture, the National Center for Physical Acoustics, the Mississippi Law Research Institute and many . Ole Miss Law is one of many graduate schools the university offers; others include the School of Business Administration, the Ole Miss medical school, an engineering school and an education school. Notable alumni of Ole Miss include NFL players Archie Manning and son Eli Manning and novelist William Faulkner, author of ""The Sound and the Fury. ","$22,012 ","$7,744 ","18,785"
George Mason University,"Fairfax, VA",143,"George Mason University has three suburban campus locations near the District of Columbia. The school's Fairfax, Virginia, campus is the hub of undergraduate student life. Students can live in traditional coed residence halls, suites and apartments. The school has a sizable commuter population, but there are many ways for all students to get involved. There are more than two dozen fraternities and sororities, as well as hundreds of student clubs and organizations. The Patriot Activities Council plans major events, like Homecoming and Welcome Week. The school's Patriots sports teams are members of the NCAA Division I Atlantic 10 Conference. The university also has a number of graduate schools and programs, including the well-regarded George Mason School of Law. ","$32,582 ","$11,300 ","23,062"
Oregon State University,"Corvallis, OR",143,"Oregon State University is located in Corvallis, about 90 minutes south of Portland and an hour drive from the Pacific coast. Undergraduates at Oregon State can explore more than 200 academic programs, and graduate students can choose from more than 100 master's programs, including those in the schools of business, engineering and education. Oregon State, often called OSU, is the state's largest public research university, which specializes in studies of marine sciences, forestry, sustainable food systems and . Outside the classroom, OSU students can choose from hundreds of clubs to join, several fraternities and sororities to pledge and many events to attend, such as the Battle of the Bands. Student athletes can play at the intramural level or try out for the many Oregon State Beavers varsity sports teams, which compete in the NCAA Division I Pac-12 Conference. Each year, OSU students gather to compete in the historic ""Civil War"" football game against University of Oregon. ","$28,846 ","$10,366 ","24,612"
Washington State University,"Pullman, WA",143,"The main campus of Washington State University is located in Pullman, though there are also regional locations throughout the state in Spokane and the Tri-Cities, as well as in Vancouver. The school has a sizeable Greek community that recruits about 20 percent of the student population. In addition to fraternities and sororities, there are about 300 other student clubs and organizations to check out. The school's sports teams, including the Washington State University football squad, compete in the NCAA Division I Pac-12 Conference. Freshmen must live on campus, unless they're older than 20 or are married. Students with children or who are enrolled in graduate school may apply to live in university-owned apartments. The university is committed to research, and there are opportunities for students to get involved in projects as undergraduates. Washington State also offers a wide variety of graduate school options, including degree programs through the College of Business, the College of Engineering and the College of Education. Notable alumni of Washington State University include broadcast journalist Edward R. Murrow and ""Far Side"" cartoonist Gary Larson. ","$25,673 ","$11,041 ","24,470"
Adelphi University,"Garden City, NY",146,"Founded in 1896, Adelphi University is a private institution. Adelphi University offers a Greek system, where 10 percent of the student body is involved in a sorority and 8 percent is involved in a fraternity. ","$34,034 ",,"4,852"
Ohio University,"Athens, OH",146,"Freshmen at Ohio University (OU) in Athens can ease into their college experience through learning communities, or LCs. These clusters of students take courses together and might live together, too. Students can also check out extracurricular activities, including nearly 500 clubs and organizations. With more than 30 fraternities and sororities, Greek life options abound, and about 10 percent of the student body opts to participate. The Ohio Bobcats compete in the NCAA Division I Mid-American Conference and have a traditionally successful men's basketball team. Ohio University students must live on campus until they have completed four semesters. Students who commute from a parent's home within 50 miles of campus are exempt from the housing requirement, as are students who meet other exemption criteria. OU offers a variety of degree programs for graduate students, too, through academic departments including the College of Education, the Russ College of Engineering and Technology and the College of Business. Notable alumni of Ohio University include actress Nancy Cartwright, who voices the character of Bart Simpson on the animated TV show ""The Simpsons""; journalist Matt Lauer, co-anchor of ""The Today Show""; and Roger Ailes, president of Fox News Channel and former campaign strategist for Presidents Richard Nixon, Ronald Reagan and George H.W. Bush. ","$21,208 ","$11,744 ","23,513"
San Diego State University,"San Diego, CA",146,"Founded in 1897, San Diego State University is a public institution. The school has 28.3 percent of its classes with fewer than 20 students, and the student-faculty ratio at San Diego State University is 28:1. ","$18,244 ","$7,084 ","29,234"
St. John Fisher College,"Rochester, NY",146,"Founded in 1948, St. John Fisher College is a private institution. St. John Fisher College offers a Greek system, where 0 percent of the student body is involved in a sorority and 0 percent is involved in a fraternity. ","$31,880 ",,"2,805"
University at Albany--SUNY,"Albany, NY",146,"The University at Albany, which is part of the State University of New York (SUNY) system, is an institution that offers more than 50 undergraduate majors and about 120 master's programs, including those in the schools of education and business. Many of UAlbany's graduate programs are highly ranked, including criminal justice, social work and specialties offered in the Rockefeller College of Public Affairs and Policy. Ever since the school's early history, students and faculty have embraced Minerva, the Roman goddess of wisdom, as their symbol. Minerva appears on the school seal, and a 7-foot plaster statue of her has stood on campus for more than 100 years. UAlbany students get involved on campus by exploring more than 200 clubs, including several fraternities, sororities and recreational sports teams. Serious student athletes can choose from nearly 20 varsity teams, named the Great Danes, which compete in the NCAA Division I within various conferences. Notable Albany alumni include Harvey Milk, the first openly gay man elected to a major political office in America and the subject of the movie ""Milk,"" starring Sean Penn. ","$22,244 ","$9,124 ","12,908"
University of Texas--Dallas,"Richardson, TX",146,"Founded in 1969, University of Texas--Dallas is a public institution. University of Texas--Dallas follows a semester-based academic calendar and its admissions are considered more selective. ","$33,654 ","$12,162 ","15,575"
Illinois State University,"Normal, IL",152,"Illinois State University is located in the town of Normal, about 130 miles southwest of Chicago. Undergraduates at Illinois State can choose from dozens of degrees, and master's students can major in many fields as well, including business, education, and social sciences and humanities. First-year students at ISU can sign up for the Learning in Communities seminar, which allows them to take one of their first colleges courses with a small group of peers and learn about their fellow students and the university. ISU students can also join more than 300 student organizations, write for the Vidette student newspaper or play an intramural sport. More competitive athletes can try out for one of the many Illinois State Redbirds varsity sports teams, which compete in the NCAA Division I Missouri Valley Conference. ISU students can also spend their free time checking out the parks, golf course and museum in Normal, or attending one of ISU's many School of Theatre productions. A few of Illinois State's notable alumni performed in these productions and went on to become famous television actors, including Jane Lynch, who stars in ""Glee,"" and Laurie Metcalf, who appeared in ""Roseanne. ","$20,886 ","$13,296 ","18,426"
Immaculata University,"Immaculata, PA",152,"Founded in 1920, Immaculata University is a private institution. Immaculata University offers a Greek system, where 2 percent of the student body is involved in a sorority and 13 percent is involved in a fraternity. ","$35,210 ",,"1,790"
